UNITID,ARANK,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
100706, 2,"R",75,"R",49,"R",26,"R",0,"Z",0,"Z",0,"R",15,"R",14,"R",1,"R",7,"R",4,"R",3,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",53,"R",31,"R",22,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100706, 3,"R",1,"R",0,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100706, 7,"R",152,"R",116,"R",36,"R",0,"R",0,"R",0,"R",27,"R",26,"R",1,"R",7,"R",4,"R",3,"R",3,"R",2,"R",1,"R",0,"R",0,"R",0,"R",115,"R",84,"R",31,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100706, 9,"R",10,"R",7,"R",3,"R",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",6,"R",4,"R",2,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100706,10,"R",59,"R",42,"R",17,"R",0,"Z",0,"Z",0,"R",11,"R",10,"R",1,"R",3,"R",1,"R",2,"R",2,"R",1,"R",1,"R",0,"Z",0,"Z",0,"R",41,"R",28,"R",13,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0
100706,14,"R",69,"R",49,"R",20,"R",0,"R",0,"R",0,"R",14,"R",13,"R",1,"R",4,"R",1,"R",3,"R",2,"R",1,"R",1,"R",0,"R",0,"R",0,"R",47,"R",32,"R",15,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0
100706,15,"R",2,"R",2,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100706,16,"R",10,"R",6,"R",4,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",8,"R",5,"R",3,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100706,17,"R",26,"R",7,"R",19,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",23,"R",6,"R",17,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
100706,18,"R",13,"R",2,"R",11,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",11,"R",2,"R",9,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
