unitid,al01c01,al01c02,al01c04,al02c02,al02c01,al02c04,al04c01,al04c03,al04c04,al05c01,al05c02,al05c03,al05c04,al07c02,al07c03,al07c04,al08c03,al08c04,al08c01,al04c02,al08c02,bl01,bl02,bl03,bl04,bl05,al01c03,al02c03,al07c01,al03c03,al03c04,al03c01,al03c02,al06c02,al06c03,al06c04,al06c01,genc01,genc02,genc03,genc04,varstrat,h_samp,smplwt,"xl01c01","xl01c02","xl01c03","xl01c04","xl02c01","xl02c02","xl02c03","xl02c04","xl03c01","xl03c02","xl03c03","xl03c04","xl04c01","xl04c02","xl04c03","xl04c04","xl05c01","xl05c02","xl05c03","xl05c04","xl06c01","xl06c02","xl06c03","xl06c04","xl07c01","xl07c02","xl07c03","xl07c04","xl08c01","xl08c02","xl08c03","xl08c04","xgenc01","xgenc02","xgenc03","xgenc04"
"100636","3","0","","1303","9557","","20","","","32","3","","","","","","","","","2","","","","","","1","","","","","","","","35","","","10","9622","1343","","","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"100654","26","12","0","50","137","21","52","6","14","21","26","3","6","1","0","0","6","5","47","65","29","","","","","","0","29","24","50","33","","","110","4","21","9","316","293","98","100","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"100663","162","75","1","418","1013","26","626","25","257","470","1208","68","167","10","1","","156","391","367","1967","599","","","","","1","1","51","255","145","47","","","1552","43","338","118","3011","5829","490","1227","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100672","5","2","","1","23","2","2","12","0","","1","","1","0","","","1","","2","4","0","","","","1","","","2","3","","","","","12","","","1","36","20","15","3","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100681","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","0","0","0","0","1","1","0","0","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"100690","4","1","","1","5","","","","2","1","","","","","","","1","1","","","","1","1","1","","","","8","","","","","","3","","","","10","5","9","3","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"100706","57","10","","56","173","9","110","51","16","27","48","30","19","1","","","2","1","42","109","19","","","1","","","1","11","30","83","39","","","193","2","23","13","452","436","180","107","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100724","23","6","","73","100","22","34","","","22","17","","","","","","","","45","34","40","","","","","1","","38","12","","","","","85","","","3","239","255","38","22","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100751","103","17","","204","630","79","316","12","30","136","118","17","16","2","","","7","12","115","274","171","1","1","1","1","","","56","136","560","366","","","668","35","89","35","1471","1454","687","592","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100760","6","3","","12","18","12","4","","","4","2","","","","","1","","","3","4","","","","","","1","","8","","","","","","8","","1","","35","29","8","14","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100779","5","","","","","2","1","","","","","","","","","","","","","","","1","","","","","","5","","","","","","2","","2","","6","2","5","4","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"100812","4","","","16","31","1","8","","","","","","","","1","","11","","6","11","5","","","","","1","","1","6","2","2","","","28","","3","1","56","60","15","6","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100821","2","","","2","18","","2","","","","","","","","","","5","1","4","","","","","","","1","","","","","","","","6","","","","26","8","5","1","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100830","41","20","1","62","94","1","21","","8","6","16","19","58","","2","2","2","1","35","28","16","","","","","1","","3","2","38","65","","","96","1","13","4","203","238","65","149","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100858","205","40","1","179","814","19","509","6","12","161","133","30","31","3","1","","30","46","427","314","189","","","","","1","","37","190","580","299","","","872","18","381","39","2345","1730","702","789","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"271763","0","1","2","2","0","0","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","0","3","0","2","12","O","7",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100885","3","2","0","7","13","6","3","0","1","2","3","0","0","0","0","0","0","0","4","6","2","","","","","","0","8","1","1","0","","","11","0","2","1","27","31","9","9","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"100919","4","1","","16","30","12","6","2","","4","","","","","","","2","3","9","1","1","","","","","1","","49","","2","2","","","19","","2","5","58","38","55","19","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100928","1","1","0","2","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","0","5","0","0","0","","","3","0","0","0","7","7","5","3","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"100937","13","11","","34","55","2","9","5","7","5","","2","1","1","","","3","2","13","15","","","","1","","","1","3","1","","","","","50","","11","1","97","111","14","23","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100946","5","4","0","9","21","7","6","1","2","3","5","0","1","0","0","0","1","1","7","10","4","","","","","","0","10","2","2","1","","","19","1","4","2","46","51","15","16","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"100955","2","3","0","6","4","0","3","0","1","0","0","0","0","0","0","0","0","0","1","0","0","","","","","1","0","2","0","0","0","","","4","0","0","0","10","13","2","1","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"100964","6","1","","6","11","10","2","2","7","","3","","","","","","","","3","5","","","","","","1","","9","","","","","","8","","","","22","23","11","17","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100973","2","2","","6","12","3","","","","","","","","","","","","","2","","","1","1","1","","","1","2","1","","","","","3","","","","17","11","3","3","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"100991","1","0","0","6","11","9","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","","","","","","0","10","0","0","0","","","4","0","1","0","14","12","10","10","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"279402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","E","0",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"101028","4","2","0","16","29","24","3","0","1","2","3","0","1","0","0","0","1","0","6","3","2","","","","","","0","28","1","2","1","","","14","1","5","0","45","40","32","32","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101037","2","","","3","14","","1","","","","","","","","","","4","1","2","2","3","","","","","1","1","","","7","2","","","3","","1","","19","11","12","4","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"297608","","1","","3","","","","","","","","","","","","","","","","","1","","","","","1","","1","","","","","","","","","","","5","1","","8","E","6",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"101073","3","6","","5","4","3","1","","","2","1","","","","","","","","2","6","4","","","","","1","","2","","","","","","4","","","","12","26","2","3","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101107","1","0","0","7","11","10","1","0","0","0","1","0","0","0","0","0","0","0","2","1","0","","","","","","0","11","0","0","0","","","4","0","1","0","15","13","11","11","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101116","3","0","0","6","2","5","3","0","0","0","0","0","0","0","0","0","0","0","1","3","0","","","","","1","0","4","0","0","0","","","1","0","0","0","9","10","4","5","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"101125","","1","","1","","","","","","","","","","","","","","","","20","","","","","","1","","","","","","","","5","","","","","27","","","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"101143","10","5","","18","24","2","1","","","3","3","","","","4","1","","","4","7","3","","","","","1","","","6","","","","","20","","1","","48","56","4","4","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101161","3","1","","16","19","36","3","4","17","","","","","","","","5","","13","8","11","","","","","1","","29","","","","","","19","1","5","","38","55","39","58","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101189","16","13","0","25","60","17","20","3","7","10","16","1","3","0","0","0","4","4","22","32","14","","","","","","0","28","8","8","4","","","58","3","13","6","142","158","47","48","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"277099","0","2","0","2","0","0","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","0","4","0","0","17","E","7",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"280477","2","8","0","12","2","6","","","","","","","","","","","","","","","","","","","","","0","2","","","","","","","","","","4","20","2","6","3","E","3",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101240","13","6","0","45","83","64","9","2","4","7","10","2","5","0","0","0","4","2","19","11","6","","","","","","0","78","5","7","5","","","43","4","17","2","138","121","97","97","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101286","8","4","","40","50","33","2","","","1","","","","","","","1","3","15","4","14","","","","","1","","47","","","","","","32","1","2","2","78","94","49","38","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101295","10","4","0","34","61","49","7","1","2","5","7","1","3","0","0","0","3","2","14","8","4","","","","","","0","58","4","5","4","","","32","3","12","1","102","89","71","72","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101301","7","4","","23","30","16","1","","","1","6","8","12","","","","1","","12","1","","","","","","1","1","6","4","","","","","20","","2","","55","54","16","30","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"271046","0","3","0","2","0","0","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","0","5","0","0","17","O","7",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101347","3","0","","9","19","2","1","","","","","","","","","","0","1","3","1","0","","","","","1","","11","","1","0","","","4","0","1","0","26","14","12","4","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101374","1","0","0","4","6","3","1","0","0","0","1","0","0","0","0","0","0","0","1","2","0","","","","","","0","3","0","0","0","","","3","0","0","0","9","10","3","3","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101383","2","1","0","9","16","14","1","0","0","1","1","0","0","0","0","0","0","0","3","1","1","","","","","","0","15","0","1","0","","","7","0","2","0","23","20","16","16","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101408","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","1","0","0","0","","","0","0","0","0","2","4","1","1","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101426","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","0","0","0","0","1","1","0","0","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101435","5","1","","11","30","16","11","","3","2","5","","4","","","","1","2","18","11","13","","1","1","","","","4","3","","","","","21","2","10","","69","62","7","35","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101444","2","","1","","2","1","","","","","","","","","","","","","","","","","","","","1","8","11","","","","","","","","","","4","","19","2","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"101453","6","","","","7","","3","","","1","1","","1","","","","","3","2","1","1","","","","","1","1","","","","","","","14","","1","","19","17","1","5","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"101462","4","1","","11","13","","","","","","","","","","","","1","","7","","","","","","","1","","","","19","5","","","8","","","1","25","20","20","5","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101471","5","1","","14","37","","4","","1","","","","","","","","","","2","","","","","","","1","","7","","","","","","8","","","3","51","23","7","1","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101480","32","7","1","100","173","40","27","1","4","16","6","1","","","","","1","2","62","25","66","","","","","1","","42","16","","","","","138","3","13","6","332","342","48","60","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101499","4","4","","13","13","13","1","","","","","","","","","","","","4","2","6","","","","","1","1","20","","","","","","9","","","2","24","34","21","13","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101505","17","8","","73","66","64","6","5","3","6","5","2","2","1","","","1","1","23","10","23","","","","","1","","84","6","","","","","56","","5","1","125","176","92","75","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101514","5","4","","69","75","60","12","","","6","24","","","","","","7","","18","6","2","","","1","","","","118","10","","","","","52","1","5","5","131","157","126","65","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101523","3","1","","10","20","6","2","1","","1","1","","","","","","7","","6","","2","","","","","1","","25","","","","","","6","","3","1","33","20","33","9","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101541","5","4","0","9","21","6","6","1","2","3","5","0","1","0","0","0","1","1","7","10","4","","","","","","0","10","2","2","1","","","18","1","4","1","45","50","15","15","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101569","5","","","32","37","","7","","","","","","2","","","","","","8","8","4","","","","","1","","","2","5","7","","","23","","","","59","67","5","9","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101587","17","","","28","49","7","17","","","3","5","","","","","","1","2","25","17","21","","","","","1","","4","10","2","2","","","38","","1","","121","109","7","12","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101602","3","1","0","14","23","18","2","0","0","1","2","0","1","0","0","0","1","0","4","2","1","","","","","","0","21","1","1","1","","","10","1","4","0","34","30","24","24","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101611","0","1","0","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","1","0","0","0","4","9","0","0","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"101648","3","3","0","12","10","9","2","0","0","1","3","0","0","0","0","0","0","1","5","9","6","","","","","","0","7","1","0","0","","","9","0","2","0","22","42","7","12","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"340362","0","1","0","4","1","0","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","1","5","0","0","17","E","7",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101675","8","7","0","14","33","11","10","1","3","5","8","0","1","0","0","0","2","2","11","17","7","","","","","","0","17","4","4","2","","","30","1","6","3","74","83","25","25","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101693","8","3","","25","26","1","11","","2","","1","","","","","","1","12","2","9","7","","","","","","","4","","7","4","","","25","","4","","47","70","12","23","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101709","8","2","","56","94","13","16","","2","17","11","","","","","","","1","16","22","22","","","","","1","","15","25","","","","","63","","12","1","177","176","15","28","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101718","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","","","0","0","0","0","1","2","0","0","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101736","4","","","8","27","4","","","","","","","","","","","","5","7","","5","","","","","1","","7","","","","","","12","","","1","39","25","7","9","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101745","4","2","","8","15","7","4","","","","","","","","","","","","5","1","","1","1","","","","","7","","","","","","10","","3","","28","21","7","10","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101754","5","1","","7","17","2","","","","","","","","","","","13","1","2","","","","","","","1","","3","","","","","","8","","1","2","26","16","16","4","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101806","1","1","0","4","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","0","2","0","0","0","","","1","0","0","0","5","7","2","3","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101879","10","1","","58","124","15","39","","","8","6","","","1","","","","","46","19","22","","","1","","","","18","26","","","","","82","","","","253","189","18","15","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101888","0","0","0","3","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","3","0","0","0","","","1","0","0","0","5","4","3","3","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101897","4","1","0","15","27","21","2","0","1","2","3","0","1","0","0","0","1","0","5","3","1","","","","","","0","24","1","2","1","","","13","1","5","0","41","36","28","29","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101903","6","3","","14","18","","1","","3","3","3","","","","","","5","2","2","2","3","","","","","1","1","","","","","","","14","","10","","30","39","6","15","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101912","15","12","0","23","58","16","18","3","6","9","15","1","3","0","0","0","4","4","21","30","14","","","","","","0","26","8","8","4","","","55","2","12","5","134","149","44","45","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101921","3","","","9","14","2","1","","","1","","","","","","","11","1","3","1","4","","","1","","","","","","","","","","5","","","","22","19","11","3","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101949","4","1","","9","11","3","3","","","","","","","","","","2","0","4","1","1","","","","","1","","1","","","","","","11","0","1","0","22","23","3","4","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"101958","0","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","1","0","0","0","","","0","0","0","0","2","3","1","1","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"101967","5","5","0","14","14","12","2","0","0","0","1","0","0","0","0","0","0","0","2","4","0","","","","","","0","11","0","0","0","","","7","0","1","0","23","31","11","13","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"305501","0","3","","4","1","0","","","","","","","","","","1","1","","","","","","","1","","","0","1","","","","","","","","1","","1","7","2","2","11","E","11",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"101994","2","","","8","14","1","1","","","","","","","","","","1","","1","2","","","","","","1","","","","","","","","6","","","1","19","16","1","1","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"317427","","2","1","4","","","0","","","","","","","","","","1","","","","","","","","","1","","","","","","","","1","","","","0","7","1","1","17","E","7",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"102030","2","2","","26","24","","17","","2","5","13","","","","","","4","","11","6","8","","","","","1","","","","5","","","","21","","1","","59","76","9","3","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"102049","24","5","","59","107","28","24","9","14","13","16","3","2","1","2","1","9","8","52","28","26","","","","1","","","41","19","","","","","110","4","13","6","245","245","68","66","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"102058","2","2","0","6","13","5","3","0","1","1","2","0","0","0","0","0","0","0","3","5","2","","","","","","0","7","1","1","0","","","9","0","2","1","24","26","8","8","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"102067","11","4","0","36","67","52","7","1","3","5","8","2","3","0","0","0","3","2","15","9","5","","","","","","0","62","4","6","4","","","35","3","13","1","110","97","77","77","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"102076","4","2","","15","17","1","","","","2","1","","","","","","","","5","3","2","","","","","1","","1","","","","","","13","","1","","28","36","1","2","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"102094","97","40","","142","450","12","115","151","151","83","206","9","60","5","11","10","82","133","223","561","290","1","","1","","","2","20","91","27","44","","","739","7","49","23","1082","1983","309","459","","","1",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
"102100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",23,23,23,23,23,23,23,23,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
