unitid,cnftmen,cnftwom,cnptmen,cnptwom,ftmen1,ftmen2,ftmen4,ftmen5,ftmen6,ftmen7,ftmen8,ftmen9,ftwom1,ftwom2,ftwom4,ftwom5,ftwom6,ftwom7,ftwom8,ftwom9,icnftmen,icnftwom,icnptmen,icnptwom,iftmen1,iftmen2,iftmen4,iftmen5,iftmen6,iftmen7,iftmen8,iftmen9,iftwom1,iftwom2,iftwom4,iftwom5,iftwom6,iftwom7,iftwom8,iftwom9,iptmen1,iptmen2,iptmen3,iptmen4,iptmen5,iptmen6,iptmen7,iptmen8,iptmen9,iptwom1,iptwom2,iptwom3,iptwom4,iptwom5,iptwom6,iptwom7,iptwom8,iptwom9,ptmen1,ptmen2,ptmen3,ptmen4,ptmen5,ptmen6,ptmen7,ptmen8,ptmen9,ptwom1,ptwom2,ptwom3,ptwom4,ptwom5,ptwom6,ptwom7,ptwom8,ptwom9
"283935","0","0","0","0","0","0","0","0","","","","0","1","2","0","0","","","","3","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"284008","0","0","0","0","0","0","0","0","","","","0","1","2","1","0","","","","4","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","R","I","I","","I","I","","","","R","I","I","","I","I","","","","R","0","3","","0","0","","","","3","0","4","","0","0","","","","4"
"284053","0","0","0","3","0","0","0","0","","","","0","0","0","0","0","","","","0","Z","Z","Z","R","Z","Z","Z","Z","","","","Z","Z","Z","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","R","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","1","0","","0","0","","","","4"
"284062","0","0","0","0","0","0","0","0","","","","0","0","2","0","0","","","","2","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","Z","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"284275","1","0","0","0","3","5","1","0","","","","10","0","1","0","0","","","","1","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","R","I","I","","I","I","","","","R","0","3","","0","0","","","","3","0","1","","0","0","","","","1"
"284284","0","0","0","0","1","1","1","0","","","","3","1","2","1","0","","","","4","Z","Z","Z","Z","R","R","R","Z","","","","Z","R","R","R","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"284406","0","0","0","0","1","2","0","0","","","","3","1","0","0","0","","","","1","Z","Z","Z","Z","R","R","Z","Z","","","","Z","R","Z","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"284415","0","0","0","0","1","0","0","0","","","","1","0","1","0","0","","","","1","Z","Z","Z","Z","R","Z","Z","Z","","","","R","Z","R","Z","Z","","","","R","Z","R","","Z","Z","","","","R","R","R","","Z","Z","","","","R","0","1","","0","0","","","","1","1","1","","0","0","","","","2"
"284530","0","1","0","0","0","1","0","0","","","","1","4","5","2","1","","","","13","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","R","I","I","","I","I","","","","R","0","2","","0","0","","","","2","0","4","","0","0","","","","4"
"284655","0","0","0","0","3","12","3","0","","","","18","4","0","0","0","","","","4","Z","Z","Z","Z","R","R","R","Z","","","","R","R","Z","Z","Z","","","","R","Z","R","","R","Z","","","","R","Z","Z","","R","Z","","","","R","0","6","","1","0","","","","7","0","0","","1","0","","","","1"
"284901","0","0","0","0","0","0","0","0","","","","0","1","1","0","0","","","","2","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","R","0","0","","0","0","","","","0","0","3","","0","0","","","","3"
"284947","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","","","","0","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","Z","I","I","","I","I","","","","R","I","I","","I","I","","","","R","0","1","","0","0","","","","1","0","3","","0","0","","","","3"
"284983","","","","","","","","","","","","0","","","","","","","","0","N","N","N","N","N","N","N","N","","","","T","N","N","N","N","","","","T","N","N","","N","N","","","","T","N","N","","N","N","","","","R","","","","","","","","","0","","","","","","","","","0"
"285074","0","0","0","0","0","0","0","0","","","","0","0","2","0","0","","","","2","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","Z","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"285171","0","0","0","1","1","1","0","0","","","","2","1","1","0","0","","","","2","Z","Z","Z","R","R","R","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","1"
"285250","0","0","0","0","0","0","0","0","","","","0","3","0","0","0","","","","3","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","R","Z","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","0","5","","0","0","","","","5","0","3","","0","0","","","","3"
"285278","0","0","0","0","1","1","0","0","","","","2","0","1","0","0","","","","1","I","I","I","I","I","I","I","I","","","","C","I","I","I","I","","","","C","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"285436","0","0","0","0","7","17","0","0","","","","24","17","11","0","0","","","","28","Z","Z","Z","Z","R","R","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"285490","1","1","0","0","1","2","1","0","","","","5","2","2","1","0","","","","6","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","R","0","0","","0","0","","","","0","0","4","","0","0","","","","4"
"285603","0","1","0","0","0","0","0","0","","","","0","1","2","1","0","","","","5","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","R","0","0","","0","0","","","","0","0","1","","0","0","","","","1"
"285791","0","3","1","0","0","0","0","0","","","","0","4","6","7","0","","","","20","Z","R","R","Z","Z","Z","Z","Z","","","","Z","R","R","R","Z","","","","Z","Z","R","","Z","Z","","","","Z","Z","R","","R","Z","","","","Z","0","3","","0","0","","","","4","0","1","","1","0","","","","2"
"285861","42","37","0","0","9","68","1","0","","","","120","3","0","0","0","","","","40","R","R","Z","Z","R","R","R","Z","","","","Z","R","Z","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"286183","0","0","0","1","0","0","0","0","","","","0","0","0","0","0","","","","0","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","Z","I","I","","I","I","","","","C","I","I","","I","I","","","","C","0","1","","0","0","","","","1","0","3","","1","0","","","","5"
"286208","0","1","1","0","1","3","1","0","","","","5","0","1","0","0","","","","2","R","R","R","R","R","R","R","R","","","","R","R","R","R","R","","","","R","R","R","","R","R","","","","R","R","R","","R","R","","","","R","1","0","","0","0","","","","2","0","0","","0","0","","","","0"
"286332","","","","","","","","","","","","0","","","","","","","","0","N","N","N","N","N","N","N","N","","","","R","N","N","N","N","","","","T","N","N","","N","N","","","","R","N","N","","N","N","","","","T","","","","","","","","","0","","","","","","","","","0"
"286341","0","0","0","0","1","0","0","0","","","","1","2","0","0","0","","","","2","Z","Z","Z","Z","R","Z","Z","Z","","","","R","R","Z","Z","Z","","","","R","Z","R","","Z","Z","","","","R","R","R","","Z","Z","","","","R","0","1","","0","0","","","","1","1","4","","0","0","","","","5"
"286518","0","2","0","0","0","0","0","0","","","","0","1","2","1","0","","","","6","Z","R","Z","Z","Z","Z","Z","Z","","","","Z","R","R","R","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","1","","0","0","","","","1"
"286536","0","0","0","0","1","9","4","2","","","","16","2","0","5","0","","","","7","R","R","R","R","R","R","R","R","","","","R","R","R","R","R","","","","R","R","R","","R","R","","","","R","R","R","","R","R","","","","R","0","7","","0","0","","","","7","0","0","","1","0","","","","1"
"286581","3","0","0","0","4","4","4","0","","","","15","2","6","3","0","","","","11","R","Z","Z","Z","R","R","R","Z","","","","Z","R","R","R","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","R","Z","","","","Z","0","0","","0","0","","","","0","0","0","","1","0","","","","1"
"286606","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","","","","0","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","Z","Z","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","R","Z","","Z","Z","","","","Z","0","1","","0","0","","","","1","1","0","","0","0","","","","1"
"286749","1","4","1","0","5","2","1","0","","","","9","8","2","1","0","","","","15","R","R","R","Z","R","R","R","Z","","","","R","R","R","R","Z","","","","R","R","R","","Z","Z","","","","R","Z","R","","R","Z","","","","R","1","3","","0","0","","","","5","0","1","","2","0","","","","3"
"286961","0","0","1","0","1","0","0","0","","","","1","3","0","0","0","","","","3","R","R","R","R","R","R","R","R","","","","R","R","R","R","R","","","","R","R","R","","R","R","","","","R","R","R","","R","R","","","","R","1","4","","0","0","","","","6","1","1","","0","0","","","","2"
"286998","0","1","0","0","1","2","0","0","","","","3","1","2","1","0","","","","5","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","R","0","0","","0","0","","","","0","0","2","","0","0","","","","2"
"287159","0","0","0","0","0","0","0","0","","","","0","1","3","0","0","","","","4","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","R","R","","Z","Z","","","","Z","0","0","","0","0","","","","0","2","1","","0","0","","","","3"
"287344","0","0","0","0","3","1","0","0","","","","4","6","5","0","0","","","","11","Z","Z","Z","Z","R","R","Z","Z","","","","R","R","R","Z","Z","","","","R","R","R","","Z","Z","","","","R","R","R","","Z","Z","","","","R","0","2","","0","0","","","","2","0","10","","0","0","","","","10"
"287380","0","0","0","0","0","0","0","0","","","","0","1","1","0","0","","","","2","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","1","","0","0","","","","1"
"287405","0","0","0","0","4","21","0","1","","","","26","4","0","5","1","","","","10","Z","Z","Z","Z","R","R","Z","R","","","","R","R","Z","R","R","","","","R","Z","R","","Z","Z","","","","R","Z","R","","Z","Z","","","","R","0","4","","0","0","","","","4","0","1","","0","0","","","","1"
"287414","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","","","","0","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","Z","I","I","","I","I","","","","Z","I","I","","I","I","","","","R","0","0","","0","0","","","","0","0","1","","0","0","","","","1"
"287423","0","0","0","0","0","0","0","0","","","","0","9","3","0","12","","","","24","Z","A","Z","Z","Z","Z","Z","Z","","","","Z","A","A","A","C","","","","Z","Z","Z","","Z","Z","","","","Z","Z","A","","Z","C","","","","Z","0","0","","0","0","","","","0","0","4","","0","4","","","","8"
"287557","1","2","0","0","1","0","0","0","","","","2","3","4","0","0","","","","9","R","R","Z","Z","R","Z","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","3","","0","0","","","","3","0","0","","0","0","","","","0"
"287584","0","0","0","0","0","0","0","0","","","","0","1","1","0","0","","","","2","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","R","0","0","","0","0","","","","0","0","1","","0","0","","","","1"
"287645","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","","","","0","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","Z","I","I","","I","I","","","","R","I","I","","I","I","","","","Z","0","2","","0","0","","","","2","0","0","","0","0","","","","0"
"287681","0","1","0","1","1","0","0","0","","","","1","2","4","2","0","","","","9","Z","R","Z","R","R","Z","Z","Z","","","","R","R","R","R","Z","","","","R","Z","R","","Z","R","","","","R","R","R","","Z","Z","","","","R","0","1","","0","1","","","","2","1","2","","0","0","","","","4"
"287733","0","0","0","0","0","0","0","0","","","","0","1","1","0","0","","","","2","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","R","0","0","","0","0","","","","0","0","3","","0","0","","","","3"
"287876","1","0","0","0","2","4","1","0","","","","8","1","1","0","0","","","","2","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","R","I","I","","I","I","","","","Z","0","1","","0","0","","","","1","0","0","","0","0","","","","0"
"288000","1","1","0","0","1","2","1","0","","","","5","1","2","1","0","","","","5","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","R","0","0","","0","0","","","","0","0","2","","0","0","","","","2"
"288091","0","0","0","0","1","1","0","0","","","","2","1","1","1","0","","","","3","I","I","I","I","I","I","I","I","","","","A","I","I","I","I","","","","A","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"288143","0","0","0","0","0","0","0","0","","","","0","1","0","0","0","","","","1","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","R","Z","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"288310","0","0","0","0","0","1","0","0","","","","1","1","1","1","0","","","","3","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"288347","1","4","0","10","1","2","0","0","","","","4","3","0","0","5","","","","12","R","R","Z","R","R","R","Z","Z","","","","R","R","Z","Z","R","","","","R","Z","R","","Z","Z","","","","R","Z","R","","Z","R","","","","R","0","1","","0","0","","","","1","0","4","","0","2","","","","16"
"288383","0","0","0","0","1","0","0","0","","","","1","0","0","0","0","","","","0","Z","Z","Z","Z","R","Z","Z","Z","","","","Z","Z","Z","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","1","","0","0","","","","1","0","0","","0","0","","","","0"
"288453","0","1","0","0","0","0","0","0","","","","0","3","4","0","0","","","","8","Z","R","Z","Z","Z","Z","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","R","","","","Z","0","0","","0","0","","","","0","0","0","","0","1","","","","1"
"288639","0","0","0","0","0","0","0","0","","","","0","7","4","1","0","","","","12","R","R","R","R","R","R","R","R","","","","R","R","R","R","R","","","","R","R","R","","R","R","","","","R","R","R","","R","R","","","","R","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"288684","0","1","0","0","0","0","0","0","","","","0","1","2","1","0","","","","5","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","R","I","I","","I","I","","","","R","I","I","","I","I","","","","R","0","1","","0","0","","","","1","0","2","","0","0","","","","2"
"289128","0","0","0","0","0","1","0","0","","","","1","1","2","0","0","","","","3","Z","Z","Z","Z","Z","R","Z","Z","","","","R","R","R","Z","Z","","","","R","Z","R","","Z","Z","","","","R","Z","R","","Z","Z","","","","R","0","1","","0","0","","","","1","0","1","","0","0","","","","1"
"289748","0","0","0","0","0","0","0","0","","","","0","1","1","0","0","","","","2","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","R","0","0","","0","0","","","","0","0","1","","0","0","","","","1"
"289784","0","0","0","0","0","0","0","0","","","","0","1","1","1","0","","","","3","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"289854","2","4","2","2","2","0","0","0","","","","4","5","7","0","0","","","","16","R","R","R","R","R","R","Z","Z","","","","R","R","R","Z","Z","","","","R","R","R","","Z","Z","","","","R","R","R","","Z","Z","","","","R","4","3","","0","0","","","","9","0","4","","0","0","","","","6"
"289924","2","1","0","0","5","10","3","1","","","","21","2","2","1","0","","","","6","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","R","I","I","","I","I","","","","Z","0","1","","0","0","","","","1","0","0","","0","0","","","","0"
"290139","0","0","0","0","0","0","0","0","","","","0","0","1","0","0","","","","1","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","A","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"290193","0","0","0","1","1","0","1","0","","","","2","1","0","1","0","","","","2","Z","Z","Z","R","R","R","R","Z","","","","R","R","R","R","Z","","","","R","R","R","","R","Z","","","","R","R","R","","R","Z","","","","R","0","1","","0","0","","","","1","0","10","","0","0","","","","11"
"290263","0","4","2","1","0","0","1","0","","","","1","1","9","6","0","","","","20","R","R","R","R","R","R","R","R","","","","R","R","R","R","R","","","","R","R","R","","R","R","","","","R","R","R","","R","R","","","","R","0","1","","0","0","","","","3","0","5","","1","0","","","","7"
"290528","0","1","0","0","1","1","0","0","","","","2","2","2","1","0","","","","6","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"290643","0","1","2","0","0","1","0","0","","","","1","3","2","0","0","","","","6","Z","R","R","Z","Z","R","Z","Z","","","","R","R","R","Z","Z","","","","R","Z","Z","","Z","Z","","","","R","Z","R","","Z","Z","","","","R","0","0","","0","0","","","","2","0","2","","0","0","","","","2"
"290698","10","0","0","0","6","0","13","3","","","","32","2","0","13","0","","","","15","R","Z","Z","Z","R","Z","R","R","","","","R","R","Z","R","Z","","","","R","Z","A","","Z","R","","","","R","Z","R","","Z","R","","","","R","0","220","","0","1","","","","221","0","60","","0","4","","","","64"
"290713","1","2","0","0","2","2","1","0","","","","6","4","5","3","1","","","","15","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","R","I","I","","I","I","","","","R","0","1","","0","0","","","","1","0","1","","0","0","","","","1"
"290768","0","0","0","0","0","0","3","0","","","","3","2","4","0","0","","","","6","Z","Z","Z","Z","Z","Z","R","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"290953","0","0","0","0","0","0","0","0","","","","0","2","2","0","0","","","","4","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"290999","0","0","0","0","1","2","1","0","","","","4","1","1","2","3","","","","7","Z","Z","Z","Z","R","R","R","Z","","","","R","R","R","R","R","","","","R","Z","R","","Z","Z","","","","R","Z","Z","","R","Z","","","","R","0","2","","0","0","","","","2","0","0","","2","0","","","","2"
"291196","0","0","0","0","0","0","0","0","","","","0","1","1","0","0","","","","2","I","I","I","I","I","I","I","I","","","","Z","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"291619","0","0","0","0","43","105","0","0","","","","148","47","117","0","0","","","","164","Z","Z","Z","Z","R","R","Z","Z","","","","R","R","R","Z","Z","","","","R","R","Z","","Z","Z","","","","R","R","Z","","Z","Z","","","","R","3","0","","0","0","","","","3","7","0","","0","0","","","","7"
"291628","0","0","0","0","0","1","0","0","","","","1","0","0","0","0","","","","0","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","Z","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"291910","0","0","0","0","2","0","0","0","","","","2","2","3","1","0","","","","6","Z","Z","Z","Z","R","Z","Z","Z","","","","Z","R","R","R","Z","","","","Z","Z","R","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","1","","0","0","","","","1","0","0","","0","0","","","","0"
"291947","0","1","1","1","0","3","1","0","","","","4","2","5","2","1","","","","11","Z","R","R","R","Z","R","R","Z","","","","R","R","R","R","R","","","","R","Z","R","","Z","Z","","","","R","Z","Z","","Z","R","","","","R","0","2","","0","0","","","","3","0","0","","0","2","","","","3"
"292092","0","0","0","0","1","0","0","0","","","","1","0","0","0","0","","","","0","Z","Z","Z","Z","R","Z","Z","Z","","","","Z","Z","Z","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","0","1","","0","0","","","","1","0","2","","0","0","","","","2"
"292108","0","0","0","0","0","0","0","0","","","","0","1","1","0","0","","","","2","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","R","R","","Z","Z","","","","Z","0","0","","0","0","","","","0","3","4","","0","0","","","","7"
"292153","1","0","0","0","1","1","1","0","","","","4","1","1","0","0","","","","2","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"292199","0","0","0","0","1","0","0","0","","","","1","3","2","0","0","","","","5","R","R","R","R","R","R","R","R","","","","T","R","R","R","R","","","","T","R","R","","R","R","","","","N","R","R","","R","R","","","","T","0","0","","0","0","","","","","3","1","","0","0","","","","4"
"292597","0","0","0","1","0","0","0","0","","","","0","1","2","0","0","","","","3","Z","Z","Z","R","Z","Z","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","1"
"292667","1","1","0","0","1","4","0","0","","","","6","5","3","1","2","","","","12","R","R","Z","Z","R","R","Z","Z","","","","Z","R","R","R","R","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"292676","0","0","0","0","2","7","3","0","","","","12","1","0","0","3","","","","4","Z","Z","Z","Z","R","R","R","R","","","","Z","R","R","R","R","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"292764","0","0","0","0","3","3","0","0","","","","6","5","3","0","0","","","","8","Z","Z","Z","Z","R","R","Z","Z","","","","R","R","R","Z","Z","","","","R","R","R","","Z","Z","","","","R","R","R","","Z","Z","","","","T","1","5","","0","0","","","","6","4","6","","0","0","","","","10"
"292791","0","0","0","0","0","1","0","0","","","","1","0","1","0","0","","","","1","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","R","0","0","","0","0","","","","0","0","1","","0","0","","","","1"
"292986","0","0","0","0","0","1","0","0","","","","1","0","1","0","0","","","","1","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"293077","2","0","0","0","0","3","0","0","","","","5","2","0","0","0","","","","2","R","Z","Z","Z","Z","R","Z","Z","","","","Z","R","Z","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"293095","0","0","0","0","0","1","0","0","","","","1","0","1","0","0","","","","1","R","R","R","R","R","R","R","R","","","","R","R","R","R","R","","","","R","R","R","","R","R","","","","R","R","R","","R","R","","","","R","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"293138","0","0","0","0","0","1","0","0","","","","1","0","0","0","0","","","","0","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","Z","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"293226","0","0","0","0","0","0","0","0","","","","0","0","3","1","0","","","","4","Z","Z","Z","Z","Z","R","Z","Z","","","","Z","Z","R","R","Z","","","","Z","Z","R","","R","Z","","","","Z","Z","R","","R","Z","","","","Z","0","0","","0","0","","","","0","0","1","","0","0","","","","1"
"293235","3","1","0","0","8","15","4","1","","","","31","4","5","3","1","","","","14","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","R","I","I","","I","I","","","","Z","0","2","","0","0","","","","2","0","0","","0","0","","","","0"
"293262","0","1","0","0","0","1","0","0","","","","1","3","3","0","0","","","","7","Z","R","Z","Z","Z","R","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"293387","0","0","0","0","3","3","0","0","","","","6","0","0","0","0","","","","0","Z","Z","Z","Z","R","R","Z","Z","","","","Z","Z","Z","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","1","","0","0","","","","1","0","0","","0","0","","","","0"
"293420","2","1","0","0","5","9","2","1","","","","19","2","3","1","0","","","","7","I","I","I","I","I","I","I","I","","","","A","I","I","I","I","","","","A","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"293448","0","0","0","1","1","0","0","0","","","","1","1","3","1","0","","","","5","R","R","R","R","R","R","R","R","","","","R","R","R","R","R","","","","R","R","R","","R","R","","","","R","R","R","","R","R","","","","R","0","0","","0","0","","","","0","0","1","","0","0","","","","2"
"293457","0","0","0","0","0","1","0","0","","","","1","1","0","0","0","","","","1","Z","Z","Z","Z","R","R","Z","Z","","","","Z","R","R","Z","Z","","","","Z","R","R","","Z","Z","","","","Z","R","R","","Z","Z","","","","Z","0","1","","0","0","","","","1","0","0","","0","0","","","","0"
"293554","4","0","0","0","6","25","11","0","","","","46","1","0","11","0","","","","12","R","R","Z","Z","R","R","R","Z","","","","Z","R","R","R","Z","","","","Z","Z","R","","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","0","6","","0","0","","","","6","0","0","","0","0","","","","0"
"293624","0","1","0","0","0","1","0","0","","","","1","1","2","0","0","","","","4","Z","R","Z","Z","Z","R","Z","Z","","","","R","R","R","Z","Z","","","","R","R","Z","","Z","Z","","","","R","Z","R","","Z","Z","","","","R","1","0","","0","0","","","","1","0","1","","0","0","","","","1"
"293961","0","0","0","0","0","0","0","0","","","","0","1","0","1","0","","","","2","Z","Z","Z","Z","Z","Z","Z","Z","","","","Z","R","Z","R","Z","","","","Z","Z","R","","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","0","1","","0","0","","","","1","0","4","","0","0","","","","4"
