unitid,cnftmen,cnftwom,cnptmen,cnptwom,ftmen1,ftmen2,ftmen4,ftmen5,ftmen6,ftmen7,ftmen8,ftmen9,ftwom1,ftwom2,ftwom4,ftwom5,ftwom6,ftwom7,ftwom8,ftwom9,icnftmen,icnftwom,icnptmen,icnptwom,iftmen1,iftmen2,iftmen4,iftmen5,iftmen6,iftmen7,iftmen8,iftmen9,iftwom1,iftwom2,iftwom4,iftwom5,iftwom6,iftwom7,iftwom8,iftwom9,iptmen1,iptmen2,iptmen3,iptmen4,iptmen5,iptmen6,iptmen7,iptmen8,iptmen9,iptwom1,iptwom2,iptwom3,iptwom4,iptwom5,iptwom6,iptwom7,iptwom8,iptwom9,ptmen1,ptmen2,ptmen3,ptmen4,ptmen5,ptmen6,ptmen7,ptmen8,ptmen9,ptwom1,ptwom2,ptwom3,ptwom4,ptwom5,ptwom6,ptwom7,ptwom8,ptwom9
"101709","","","","","15","83","12","16","7","26","15","174","15","51","23","8","65","1","27","190","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","1","6","0","3","0","0","0","0","10","0","27","0","4","10","0","0","0","41"
"101736","","","","","11","24","4","2","0","0","13","54","3","15","1","2","27","0","24","72","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","1","42","0","0","0","0","0","0","43","0","27","0","0","0","0","0","0","27"
"101772","0","0","0","0","0","3","0","0","","","","3","6","4","0","0","","","","10","R","R","R","R","R","R","R","R","","","","R","R","R","R","R","","","","R","R","R","","R","R","","","","R","R","R","","R","R","","","","R","0","0","","0","0","","","","0","1","3","","0","0","","","","4"
"101781","0","0","0","0","0","4","0","0","","","","4","4","1","1","0","","","","6","R","R","R","R","R","R","R","R","","","","R","R","R","R","R","","","","R","R","R","","R","R","","","","R","R","R","","R","R","","","","R","0","2","","0","0","","","","2","2","3","","0","0","","","","5"
"101833","0","0","0","0","2","0","0","0","","","","2","8","8","0","0","","","","16","Z","Z","Z","Z","R","R","Z","Z","","","","Z","R","R","Z","Z","","","","Z","Z","R","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","1","","0","0","","","","1","0","0","","0","0","","","","0"
"101860","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101879","","","","","13","131","38","11","0","21","53","267","1","69","32","6","86","0","22","216","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","23","0","0","1","0","0","0","24","0","26","0","2","4","0","0","0","32"
"101897","","","","","4","12","7","2","0","0","5","30","1","18","5","5","7","0","2","38","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","14","0","1","0","1","0","1","17","0","10","0","3","0","1","0","0","14"
"101903","","","","","4","38","5","1","0","0","4","52","2","26","4","1","33","0","3","69","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","2","0","1","0","0","0","2","5","0","4","0","0","3","0","0","1","8"
"101912","","","","","17","42","12","12","2","12","19","116","11","43","11","18","30","1","5","119","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","22","0","1","1","2","2","1","29","0","12","0","2","17","2","0","1","34"
"101921","3","10","5","3","4","13","0","1","","","","21","0","8","1","0","","","","19","R","R","R","R","R","R","Z","R","","","","R","Z","R","R","Z","","","","R","Z","R","","Z","Z","","","","R","Z","R","","Z","Z","","","","R","0","5","","0","0","","","","10","0","12","","0","0","","","","15"
"101949","","","","","3","14","2","0","0","0","5","24","3","13","6","0","10","0","1","33","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"101967","","","","","2","8","1","7","0","0","1","19","0","0","0","0","9","0","0","9","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","2","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","1"
"101994","","","","","2","9","1","0","1","0","2","15","1","12","4","1","3","0","0","21","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","1","0","0","0","1","0","1","3","0","4","0","0","0","0","0","0","4"
"102030","","","","","2","24","10","0","9","1","8","54","2","27","9","0","35","0","0","73","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","15","0","2","0","0","0","7","24","0","25","0","1","7","0","0","3","36"
"102049","","","","","26","123","64","11","4","28","44","300","6","66","42","12","154","1","39","320","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","102","0","15","1","2","1","0","121","0","76","0","25","12","2","0","0","115"
"102058","","","","","6","47","44","14","1","0","10","122","1","36","21","14","8","0","12","92","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","6","0","0","0","0","0","0","6","0","1","0","0","0","0","0","0","1"
"102067","","","","","17","31","0","0","30","0","11","89","5","52","0","0","44","0","3","104","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"102076","","","","","3","15","1","3","1","0","5","28","1","16","3","2","17","0","2","41","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","3","0","0","0","0","0","0","3","0","1","0","2","1","0","0","2","6"
"102094","","","","","127","482","317","113","31","151","239","1460","116","191","807","398","982","18","629","3141","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","16","153","27","5","15","3","35","254","1","13","85","257","61","33","11","64","525"
"102100","","","","","46","260","93","47","16","58","99","619","22","89","113","50","149","1","50","474","","","","","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","1","56","76","4","1","1","0","3","142","1","41","59","13","4","13","0","3","134"
"102119","","","","","2","3","0","0","0","0","1","6","1","1","1","0","2","0","1","6","","","","","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","0","3","0","0","0","0","0","1","4","0","1","0","0","0","1","0","1","3"
"102155","","","","","1","4","0","0","1","0","0","6","4","6","0","0","5","0","0","15","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","3","0","0","0","0","0","1","4","0","2","0","0","1","0","0","0","3"
"102164","","","","","1","4","1","0","0","0","0","6","6","4","8","0","2","0","0","20","","","","","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","0","9","1","0","0","1","0","0","11","0","9","0","0","0","5","0","0","14"
"102225","","","","","2","19","5","1","0","0","9","36","1","13","4","1","15","0","4","38","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","21","0","0","0","0","0","2","23","0","50","0","0","1","0","0","1","52"
"102234","","","","","7","41","20","9","2","5","36","120","0","16","25","14","37","0","12","104","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","15","0","4","4","4","1","3","31","0","17","0","1","10","2","0","1","31"
"102261","","","","","4","8","3","0","0","0","2","17","0","1","0","1","2","0","1","5","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","6","0","0","0","0","0","2","8","0","1","0","0","0","3","0","5","9"
"102270","","","","","18","28","9","4","0","5","10","74","6","25","30","4","17","0","6","88","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","5","0","2","0","0","0","0","7","0","2","0","0","0","0","0","0","2"
"102289","0","0","0","0","0","0","0","0","","","","0","1","4","1","0","","","","6","Z","Z","Z","Z","R","R","R","Z","","","","Z","R","R","R","Z","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","Z","Z","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"102298","","","","","14","34","5","5","0","0","13","71","14","10","6","10","12","0","17","69","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","6","1","0","0","0","0","0","7","0","1","1","0","0","0","0","0","2"
"102313","","","","","2","9","10","4","0","2","4","31","2","21","6","1","9","1","1","41","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","10","0","0","4","1","1","0","16","0","15","0","0","1","5","2","0","23"
"102322","","","","","6","24","10","0","1","2","0","43","2","18","12","0","20","0","6","58","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","35","0","1","5","0","0","3","44","0","24","0","0","4","0","0","4","32"
"102331","","","","","46","260","93","47","16","58","99","619","22","89","113","50","149","1","50","474","","","","","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","I","1","56","76","4","1","1","0","3","142","1","41","59","13","4","13","0","3","134"
"102359","","","","","4","24","13","0","4","0","3","48","3","6","17","2","26","0","0","54","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","77","0","0","17","0","0","0","94","0","43","0","0","21","0","0","0","64"
"102368","","","","","10","110","71","11","5","15","46","268","2","85","85","5","143","0","32","352","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","16","0","5","9","5","0","13","48","0","9","0","4","27","1","0","7","48"
"102377","","","","","13","200","76","51","8","39","110","497","3","86","107","55","153","0","60","464","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","9","0","11","1","13","0","5","39","0","7","0","13","18","7","0","3","48"
"102395","","","","","6","4","2","0","0","0","3","15","3","1","5","0","9","0","0","18","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102410","","","","","5","15","1","1","0","0","9","31","2","7","4","5","8","0","3","29","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","7","0","1","0","0","0","2","10","0","5","0","1","2","2","0","3","13"
"102429","","","","","5","24","4","0","0","0","4","37","1","18","1","1","11","0","0","32","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","15","0","0","0","0","0","2","17","0","16","0","0","4","0","0","0","20"
"102508","0","0","0","0","0","1","0","0","","","","1","1","1","1","0","","","","3","I","I","I","I","I","I","I","I","","","","I","I","I","I","I","","","","I","I","I","","I","I","","","","I","I","I","","I","I","","","","I","0","1","","0","0","","","","1","0","1","","0","0","","","","1"
"102526","0","0","0","0","5","14","3","0","","","","22","3","13","14","0","","","","30","Z","Z","Z","Z","R","R","R","Z","","","","R","R","R","R","Z","","","","R","Z","R","","Z","Z","","","","R","Z","R","","Z","Z","","","","R","0","3","","0","0","","","","3","0","4","","0","0","","","","4"
"102553","","","","","39","242","70","31","25","29","50","486","18","150","100","41","269","1","12","591","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","395","0","17","21","32","3","11","479","2","440","0","18","97","45","1","15","618"
"102562","0","0","0","0","0","1","0","0","","","","1","0","0","0","0","","","","0","I","I","I","I","I","I","I","I","","","","I","I","I","I","I","","","","I","I","I","","I","I","","","","I","I","I","","I","I","","","","I","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"102580","","","","","5","4","1","0","0","1","0","11","0","0","3","0","3","0","0","6","","","","","R","R","R","Z","R","R","Z","Z","R","R","R","Z","R","R","Z","Z","Z","R","Z","R","Z","Z","Z","Z","Z","Z","R","Z","R","Z","Z","Z","Z","Z","0","6","0","0","0","0","0","0","6","0","2","0","4","0","0","0","0","6"
"102605","","","","","1","3","0","0","0","0","0","4","7","25","0","0","0","0","0","32","","","","","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102614","","","","","51","393","154","129","28","90","71","916","24","124","108","123","312","4","37","732","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","1","115","130","20","29","34","3","15","347","2","112","69","45","159","68","4","10","469"
"102632","","","","","9","48","10","10","6","10","11","104","5","26","14","16","54","0","4","119","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","66","0","3","2","7","0","3","81","0","69","0","5","15","13","0","12","114"
"102669","","","","","6","16","2","0","1","0","4","29","12","11","4","0","26","0","0","53","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","6","0","0","0","0","0","1","7","1","6","0","0","3","0","0","0","10"
"102711","6","4","0","0","5","23","4","2","","","","40","2","11","4","2","","","","23","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"102845","1","2","1","1","2","6","1","0","","","","10","4","6","3","0","","","","15","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","R","I","I","","I","I","","","","R","0","9","","0","0","","","","10","0","7","","1","1","","","","10"
"102906","","","","","5","6","1","3","0","10","2","27","3","14","2","2","7","0","2","30","","","","","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102915","1","0","1","0","1","3","0","0","","","","5","0","2","0","0","","","","2","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","R","I","I","","I","I","","","","R","0","9","","0","0","","","","10","0","2","","0","0","","","","2"
"102960","0","0","0","0","1","2","0","0","","","","3","0","2","0","0","","","","2","I","I","I","I","I","I","I","I","","","","R","I","I","I","I","","","","R","I","I","","I","I","","","","Z","I","I","","I","I","","","","Z","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"103024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103361","0","0","0","0","2","3","1","1","","","","7","1","5","10","3","","","","19","Z","Z","Z","Z","R","R","R","R","","","","Z","R","R","R","R","","","","Z","Z","Z","","Z","Z","","","","Z","Z","Z","","R","R","","","","Z","0","0","","0","0","","","","0","0","0","","1","1","","","","2"
"103440","","","","","6","14","6","4","0","5","3","38","2","8","4","4","2","0","9","29","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","2","0","0","0","0","0","0","2","0","4","0","0","0","1","0","3","8"
"103468","","","","","1","5","0","0","0","0","0","6","1","2","0","0","2","0","0","5","","","","","R","R","Z","Z","Z","Z","Z","Z","R","R","Z","Z","R","Z","Z","Z","R","R","Z","Z","Z","Z","Z","Z","Z","Z","R","Z","Z","Z","R","Z","Z","Z","1","3","0","0","0","0","0","0","4","0","1","0","0","0","2","0","0","3"
