unitid,arank,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,stat_s
"209056","19",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"4",10,"3",13,"0",13,"0",10,"4",10,"3","1"
"209056","20",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3",10,"2",13,"0",13,"0",10,"3",10,"2","1"
"209056","21",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",10,"3",13,"0",13,"0",10,"4",10,"16",10,"22",13,"0",10,"1",10,"20",10,"27","1"
"209056","22",10,"2",13,"0",10,"1",10,"2",10,"1",13,"0",10,"4",10,"2",13,"0",10,"4",10,"105",10,"65",10,"6",10,"4",10,"119",10,"77","1"
"209065","1",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"32",10,"10",10,"1",13,"0",10,"33",10,"10","1"
"209065","2",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"1",10,"15",10,"11",13,"0",13,"0",10,"16",10,"12","1"
"209065","3",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",10,"1","1"
"209065","7",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"1",10,"47",10,"22",10,"1",13,"0",10,"49",10,"23","1"
"209065","9",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"1",13,"0",13,"0",10,"1",10,"1","1"
"209065","10",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"6",10,"9",13,"0",10,"1",10,"7",10,"10","1"
"209065","14",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"7",10,"10",13,"0",10,"1",10,"8",10,"11","1"
"209065","17",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3",10,"2",13,"0",13,"0",10,"3",10,"2","1"
"209065","21",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3",10,"2",13,"0",13,"0",10,"3",10,"2","1"
"209065","22",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"1",10,"57",10,"34",10,"1",10,"1",10,"60",10,"36","1"
"209074","20",10,"1",10,"1",10,"0",10,"2",10,"1",10,"0",10,"1",10,"1",10,"0",10,"1",10,"83",10,"88",10,"0",10,"0",10,"86",10,"93","1"
"209074","21",10,"1",10,"1",10,"0",10,"2",10,"1",10,"0",10,"1",10,"1",10,"0",10,"1",10,"83",10,"88",10,"0",10,"0",10,"86",10,"93","1"
"209074","22",10,"1",10,"1",10,"0",10,"2",10,"1",10,"0",10,"1",10,"1",10,"0",10,"1",10,"83",10,"88",10,"0",10,"0",10,"86",10,"93","1"
"209108","20",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"1",13,"0",10,"16",10,"13",13,"0",13,"0",10,"17",10,"14","1"
"209108","21",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"1",13,"0",10,"16",10,"13",13,"0",13,"0",10,"17",10,"14","1"
"209108","22",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"1",13,"0",10,"16",10,"13",13,"0",13,"0",10,"17",10,"14","1"
"209241","15",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2",10,"0",10,"0",10,"0",10,"2",10,"0","1"
"209241","16",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"6",10,"2",10,"0",10,"0",10,"6",10,"3","1"
"209241","17",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"5",10,"0",10,"0",10,"0",10,"5",10,"0","1"
"209241","21",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"13",10,"2",10,"0",10,"0",10,"13",10,"3","1"
"209241","22",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"13",10,"2",10,"0",10,"0",10,"13",10,"3","1"
"209250","4",13,"0",13,"0",10,"1",13,"0",10,"1",13,"0",10,"1",13,"0",13,"0",10,"1",10,"51",10,"48",10,"2",13,"0",10,"56",10,"49","2"
"209250","7",13,"0",13,"0",10,"1",13,"0",10,"1",13,"0",10,"1",13,"0",13,"0",10,"1",10,"51",10,"48",10,"2",13,"0",10,"56",10,"49","2"
"209250","11",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",10,"1",10,"28",10,"32",13,"0",13,"0",10,"28",10,"34","2"
"209250","14",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",10,"1",10,"28",10,"32",13,"0",13,"0",10,"28",10,"34","2"
"209250","18",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3",10,"2",13,"0",13,"0",10,"3",10,"2","2"
"209250","21",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3",10,"2",13,"0",13,"0",10,"3",10,"2","2"
"209250","22",13,"0",13,"0",10,"1",13,"0",10,"1",13,"0",10,"1",10,"1",13,"0",10,"2",10,"82",10,"82",10,"2",13,"0",10,"87",10,"85","2"
"209287","15",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",10,"6",13,"0",13,"0",13,"0",10,"7",13,"0","1"
"209287","16",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",10,"7",13,"0",13,"0",13,"0",10,"8",13,"0","1"
"209287","17",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",10,"16",10,"6",13,"0",13,"0",10,"17",10,"6","1"
"209287","18",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",10,"1",10,"1",13,"0",13,"0",10,"1",10,"2","1"
"209287","21",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3",10,"1",13,"0",13,"0",10,"30",10,"7",13,"0",13,"0",10,"33",10,"8","1"
"209287","22",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3",10,"1",13,"0",13,"0",10,"30",10,"7",13,"0",13,"0",10,"33",10,"8","1"
"209296","16",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"8",10,"2",13,"0",13,"0",10,"8",10,"2","1"
"209296","17",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",10,"1",10,"1",13,"0",13,"0",10,"2",10,"1","1"
"209296","18",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",10,"4",13,"0","1"
"209296","20",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"3",10,"7",13,"0",13,"0",10,"3",10,"8","1"
"209296","21",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3",13,"0",10,"1",10,"1",10,"13",10,"10",13,"0",13,"0",10,"17",10,"11","1"
"209296","22",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"3",13,"0",10,"1",10,"1",10,"13",10,"10",13,"0",13,"0",10,"17",10,"11","1"
"209409","15",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"2",13,"0",13,"0",10,"1",10,"2","1"
"209409","16",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"9",10,"3",13,"0",13,"0",10,"9",10,"3","1"
"209409","17",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"2",10,"2",13,"0",13,"0",10,"2",10,"3","1"
"209409","21",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"12",10,"7",13,"0",13,"0",10,"12",10,"8","1"
"209409","22",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"12",10,"7",13,"0",13,"0",10,"12",10,"8","1"
"209490","1",10,"5",10,"1",10,"0",10,"0",10,"1",10,"0",10,"1",10,"1",10,"1",10,"0",10,"93",10,"24",10,"0",10,"1",10,"101",10,"27","1"
"209490","2",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"17",10,"16",10,"0",10,"0",10,"18",10,"16","1"
"209490","3",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3",10,"3",10,"0",10,"0",10,"3",10,"3","1"
"209490","7",10,"6",10,"1",10,"0",10,"0",10,"1",10,"0",10,"1",10,"1",10,"1",10,"0",10,"113",10,"43",10,"0",10,"1",10,"122",10,"46","1"
"209490","8",10,"8",10,"4",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"6",10,"0",10,"0",10,"0",10,"14",10,"4","1"
"209490","9",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2",10,"0",10,"0",10,"0",10,"16",10,"5",10,"0",10,"0",10,"19",10,"5","1"
"209490","10",10,"4",10,"4",10,"0",10,"0",10,"0",10,"0",10,"3",10,"1",10,"0",10,"0",10,"15",10,"11",10,"0",10,"1",10,"22",10,"17","1"
"209490","14",10,"13",10,"8",10,"0",10,"0",10,"0",10,"0",10,"5",10,"1",10,"0",10,"0",10,"37",10,"16",10,"0",10,"1",10,"55",10,"26","1"
"209490","15",10,"9",10,"4",10,"0",10,"0",10,"0",10,"0",10,"2",10,"0",10,"1",10,"0",10,"73",10,"15",10,"0",10,"0",10,"85",10,"19","1"
"209490","16",10,"11",10,"4",10,"1",10,"0",10,"0",10,"0",10,"5",10,"1",10,"0",10,"1",10,"98",10,"39",10,"1",10,"0",10,"116",10,"45","1"
"209490","17",10,"40",10,"9",10,"0",10,"3",10,"0",10,"0",10,"14",10,"8",10,"6",10,"2",10,"139",10,"112",10,"7",10,"3",10,"206",10,"137","1"
"209490","18",10,"14",10,"5",10,"0",10,"3",10,"0",10,"0",10,"5",10,"4",10,"1",10,"0",10,"30",10,"111",10,"0",10,"2",10,"50",10,"125","1"
"209490","19",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"4",10,"4",10,"0",10,"0",10,"5",10,"4","1"
"209490","21",10,"74",10,"22",10,"1",10,"6",10,"0",10,"0",10,"27",10,"13",10,"8",10,"3",10,"344",10,"281",10,"8",10,"5",10,"462",10,"330","1"
"209490","22",10,"93",10,"31",10,"1",10,"6",10,"1",10,"0",10,"33",10,"15",10,"9",10,"3",10,"494",10,"340",10,"8",10,"7",10,"639",10,"402","1"
"209506","1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"22",10,"7",10,"0",10,"0",10,"23",10,"7","1"
"209506","2",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"21",10,"9",10,"0",10,"0",10,"22",10,"9","1"
"209506","3",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2",10,"1",10,"0",10,"0",10,"2",10,"1","1"
"209506","7",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"1",10,"0",10,"45",10,"17",10,"0",10,"0",10,"47",10,"17","1"
"209506","9",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"1",10,"0","1"
"209506","10",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2",10,"1",10,"0",10,"0",10,"17",10,"10",10,"0",10,"0",10,"20",10,"11","1"
"209506","14",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2",10,"1",10,"0",10,"0",10,"18",10,"10",10,"0",10,"0",10,"21",10,"11","1"
"209506","15",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"1",10,"0","1"
"209506","17",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"8",10,"2",10,"0",10,"0",10,"8",10,"2","1"
"209506","18",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"0",10,"8",10,"4",10,"0",10,"0",10,"8",10,"5","1"
"209506","21",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"0",10,"17",10,"6",10,"0",10,"0",10,"17",10,"7","1"
"209506","22",10,"1",10,"0",10,"0",10,"0",10,"0",10,"1",10,"3",10,"1",10,"1",10,"0",10,"80",10,"33",10,"0",10,"0",10,"85",10,"35","1"
"209533","16",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",13,"0",10,"2",13,"0",13,"0",13,"0",10,"3","1"
"209533","17",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",10,"2",13,"0",13,"0",10,"1",10,"2","1"
"209533","21",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",10,"1",10,"4",13,"0",13,"0",10,"1",10,"5","1"
"209533","22",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"1",13,"0",13,"0",10,"1",10,"4",13,"0",13,"0",10,"1",10,"5","1"
"209542","1",10,"0",10,"0",10,"1",10,"0",10,"2",10,"0",10,"12",10,"0",10,"3",10,"1",10,"281",10,"43",10,"3",10,"0",10,"302",10,"44","1"
"209542","2",10,"1",10,"0",10,"1",10,"1",10,"1",10,"0",10,"16",10,"6",10,"5",10,"1",10,"169",10,"76",10,"2",10,"0",10,"195",10,"84","1"
"209542","3",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"4",10,"12",10,"0",10,"0",10,"5",10,"12","1"
"209542","4",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"1",10,"7",10,"5",10,"0",10,"0",10,"7",10,"7","1"
"209542","6",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"1",10,"0","1"
"209542","7",10,"1",10,"0",10,"2",10,"1",10,"4",10,"0",10,"28",10,"7",10,"8",10,"3",10,"461",10,"136",10,"6",10,"0",10,"510",10,"147","1"
"209542","8",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"2",10,"0","1"
"209542","9",10,"5",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3",10,"1",10,"0",10,"1",10,"10",10,"5",10,"1",10,"1",10,"19",10,"8","1"
"209542","10",10,"17",10,"6",10,"4",10,"2",10,"0",10,"1",10,"13",10,"5",10,"7",10,"3",10,"82",10,"62",10,"9",10,"10",10,"132",10,"89","1"
"209542","11",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"1","1"
"209542","13",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0","1"
"209542","14",10,"23",10,"6",10,"4",10,"2",10,"0",10,"1",10,"17",10,"6",10,"7",10,"4",10,"93",10,"67",10,"10",10,"12",10,"154",10,"98","1"
"209542","15",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"1",10,"0",10,"4",10,"1",10,"1",10,"1",10,"7",10,"2","1"
"209542","16",10,"1",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"17",10,"4",10,"1",10,"0",10,"20",10,"4","1"
"209542","17",10,"7",10,"4",10,"0",10,"1",10,"1",10,"0",10,"4",10,"2",10,"2",10,"1",10,"28",10,"19",10,"6",10,"3",10,"48",10,"30","1"
